Institution Name,Location Classification,Program Type,Land Area (Acres),Number of Classrooms,Number of Tutorial Rooms,Number of PG Labs,Number of Workshops,Computer Center Area (sqm),Library Area (sqm),Seminar Hall Area (sqm),Total Student Intake,Approval Status
Institution_4642,Non-Rural,Diploma,1.77,8,2,0,8,83,650,132,360,Not Approved
Institution_1034,Non-Rural,UG,4.56,4,1,0,3,195,450,132,528,Approved
Institution_4761,Non-Rural,PG,2.62,16,4,40,12,181,650,132,336,Approved
Institution_7998,Rural,UG,12.6,20,5,0,15,110,650,132,458,Not Approved
Institution_5988,Rural,UG,7.1,4,1,0,3,207,450,132,572,Not Approved
Institution_6189,Non-Rural,PG,3.19,4,1,10,3,135,550,132,214,Not Approved
Institution_3739,Non-Rural,UG,4.8,8,2,0,6,168,400,132,491,Approved
Institution_7229,Rural,Combined,9.83,4,1,10,4,193,500,132,290,Approved
Institution_3241,Rural,Combined,13.5,16,4,40,16,124,600,132,306,Not Approved
Institution_8318,Rural,UG,11.29,8,2,0,2,163,600,132,547,Approved
Institution_1629,Non-Rural,UG,3.46,8,2,0,6,156,600,132,433,Approved
Institution_8140,Non-Rural,Diploma,1.96,8,2,0,8,151,550,132,318,Approved
Institution_1645,Rural,UG,6.5,4,1,0,4,151,600,132,360,Not Approved
Institution_3400,Rural,Diploma,6.9,16,4,0,12,190,550,132,330,Approved
Institution_5757,Non-Rural,Combined,3.35,16,4,40,12,168,550,132,422,Approved
Institution_3632,Non-Rural,PG,2.6,16,4,40,16,206,400,132,300,Approved
Institution_2864,Rural,UG,5.25,20,5,0,5,282,550,132,515,Not Approved
Institution_9889,Non-Rural,Diploma,1.49,20,5,0,10,190,400,132,129,Not Approved
Institution_1614,Rural,Combined,5.53,12,3,30,12,253,400,132,430,Approved
Institution_5449,Non-Rural,UG,2.35,20,5,0,20,223,550,132,508,Not Approved
Institution_7815,Rural,PG,8.66,12,3,30,3,269,450,132,178,Not Approved
Institution_6805,Non-Rural,UG,2.26,12,3,0,3,53,550,132,204,Not Approved
Institution_4448,Rural,Combined,11.02,8,2,20,2,108,550,132,202,Not Approved
Institution_9515,Non-Rural,Combined,1.76,8,2,20,6,116,400,132,543,Not Approved
Institution_2920,Non-Rural,Combined,2.25,8,2,20,8,156,550,132,373,Approved
Institution_3402,Rural,UG,12.16,12,3,0,12,294,500,132,348,Approved
Institution_2215,Rural,Combined,8.86,4,1,10,4,229,500,132,253,Approved
Institution_9802,Rural,Diploma,4.04,16,4,0,16,277,500,132,593,Not Approved
Institution_8545,Non-Rural,Combined,2.18,8,2,20,6,289,550,132,231,Approved
Institution_4222,Rural,PG,5.58,12,3,30,6,60,500,132,292,Not Approved
Institution_2930,Rural,Diploma,7.98,8,2,0,8,259,450,132,403,Approved
Institution_2543,Rural,UG,10.05,8,2,0,4,140,550,132,498,Not Approved
Institution_5690,Non-Rural,UG,3.15,4,1,0,1,155,450,132,342,Approved
Institution_6868,Rural,UG,8.34,16,4,0,4,55,450,132,100,Not Approved
Institution_4183,Non-Rural,UG,3.0,20,5,0,10,259,500,132,269,Approved
Institution_5086,Rural,Diploma,2.34,12,3,0,3,104,600,132,207,Not Approved
Institution_3594,Rural,PG,9.22,8,2,20,6,291,650,132,491,Not Approved
Institution_4264,Rural,Diploma,4.44,4,1,0,4,114,400,132,287,Not Approved
Institution_5398,Rural,Diploma,2.52,12,3,0,6,258,500,132,282,Not Approved
Institution_9571,Rural,UG,8.98,16,4,0,4,295,550,132,559,Not Approved
Institution_2828,Non-Rural,PG,4.76,8,2,20,8,256,500,132,166,Approved
Institution_8437,Non-Rural,PG,2.28,8,2,20,4,167,500,132,329,Not Approved
Institution_4424,Non-Rural,Combined,4.25,4,1,10,3,277,600,132,285,Approved
Institution_7894,Rural,UG,5.49,12,3,0,3,173,450,132,520,Not Approved
Institution_1433,Non-Rural,PG,3.45,4,1,10,2,294,400,132,574,Approved
Institution_5858,Non-Rural,Diploma,1.3,4,1,0,4,110,400,132,446,Not Approved
Institution_2503,Rural,Diploma,8.66,16,4,0,8,80,450,132,166,Not Approved
Institution_8976,Non-Rural,Diploma,0.82,4,1,0,4,186,600,132,479,Not Approved
Institution_3702,Non-Rural,Combined,1.12,4,1,10,2,71,600,132,215,Not Approved
Institution_7391,Non-Rural,Combined,3.43,12,3,30,12,259,450,132,471,Approved
Institution_6671,Non-Rural,PG,4.08,12,3,30,3,108,650,132,412,Not Approved
Institution_5784,Non-Rural,Diploma,1.77,8,2,0,8,275,500,132,473,Approved
Institution_8104,Rural,UG,9.23,20,5,0,5,214,650,132,406,Not Approved
Institution_2300,Non-Rural,PG,4.79,16,4,40,12,196,500,132,516,Approved
Institution_9547,Non-Rural,Combined,3.07,16,4,40,12,189,650,132,520,Approved
Institution_7766,Rural,PG,11.15,8,2,20,2,189,650,132,201,Approved
Institution_4732,Rural,UG,12.12,4,1,0,4,296,500,132,528,Approved
Institution_6831,Rural,UG,12.48,8,2,0,4,290,400,132,300,Approved
Institution_5929,Rural,Diploma,5.18,12,3,0,3,216,500,132,356,Approved
Institution_2793,Non-Rural,Combined,4.97,4,1,10,4,178,650,132,465,Approved
Institution_4138,Rural,PG,9.65,12,3,30,9,294,600,132,410,Not Approved
Institution_6795,Rural,UG,6.86,16,4,0,16,168,550,132,583,Not Approved
Institution_4366,Non-Rural,Combined,3.06,8,2,20,6,95,400,132,175,Not Approved
Institution_2497,Rural,Diploma,6.85,4,1,0,2,98,500,132,453,Not Approved
Institution_7548,Rural,UG,5.43,8,2,0,4,249,500,132,244,Not Approved
Institution_6527,Rural,UG,10.02,4,1,0,1,231,450,132,563,Approved
Institution_8007,Non-Rural,PG,4.52,12,3,30,12,293,400,132,592,Approved
Institution_6673,Non-Rural,Combined,0.89,8,2,20,4,214,400,132,210,Approved
Institution_3719,Non-Rural,Diploma,1.7,12,3,0,3,290,550,132,211,Approved
Institution_5662,Rural,UG,7.28,16,4,0,8,276,450,132,219,Not Approved
Institution_6043,Non-Rural,Combined,2.99,4,1,10,3,195,650,132,108,Approved
Institution_6907,Non-Rural,UG,4.66,8,2,0,4,245,500,132,490,Approved
Institution_9215,Rural,Diploma,6.53,8,2,0,8,202,600,132,536,Approved
Institution_2060,Rural,UG,13.44,4,1,0,3,292,450,132,452,Approved
Institution_8468,Rural,UG,8.86,8,2,0,4,264,500,132,165,Not Approved
Institution_3034,Non-Rural,PG,5.0,12,3,30,3,273,450,132,538,Approved
Institution_3081,Non-Rural,UG,0.88,16,4,0,4,236,550,132,413,Not Approved
Institution_2264,Rural,Diploma,3.73,12,3,0,9,80,400,132,321,Not Approved
Institution_9369,Non-Rural,Combined,2.63,20,5,50,15,268,650,132,380,Approved
Institution_6722,Rural,Combined,6.1,8,2,20,6,269,600,132,473,Approved
Institution_2353,Non-Rural,Combined,3.05,8,2,20,4,176,450,132,399,Approved
Institution_9984,Non-Rural,UG,3.21,8,2,0,6,221,600,132,316,Approved
Institution_6741,Non-Rural,PG,3.24,16,4,40,16,287,500,132,553,Approved
Institution_3790,Rural,Combined,5.52,4,1,10,1,280,450,132,279,Approved
Institution_7000,Rural,Diploma,8.15,8,2,0,8,188,500,132,136,Approved
Institution_8541,Rural,PG,11.22,12,3,30,6,139,600,132,287,Not Approved
Institution_2633,Non-Rural,PG,2.04,8,2,20,4,195,650,132,468,Not Approved
Institution_9646,Non-Rural,Combined,1.69,8,2,20,6,278,500,132,479,Approved
Institution_5302,Non-Rural,Combined,3.08,20,5,50,20,206,500,132,367,Approved
Institution_3871,Non-Rural,Diploma,0.7,4,1,0,3,282,650,132,212,Not Approved
Institution_9085,Non-Rural,Combined,0.67,4,1,10,2,104,500,132,131,Not Approved
Institution_7712,Rural,UG,9.37,12,3,0,6,216,600,132,270,Not Approved
Institution_5249,Rural,PG,6.92,20,5,50,5,128,450,132,151,Not Approved
Institution_1750,Rural,PG,9.17,4,1,10,2,230,600,132,391,Not Approved
Institution_3171,Non-Rural,UG,3.14,12,3,0,9,211,450,132,569,Approved
Institution_7066,Non-Rural,Diploma,1.88,4,1,0,1,277,600,132,168,Approved
Institution_3612,Non-Rural,Diploma,1.19,16,4,0,8,114,450,132,283,Not Approved
Institution_5808,Rural,Diploma,7.64,20,5,0,20,121,400,132,353,Not Approved
Institution_8293,Rural,Combined,10.38,20,5,50,20,253,600,132,251,Approved
Institution_4855,Non-Rural,Diploma,1.9,8,2,0,2,181,550,132,557,Approved
Institution_7143,Non-Rural,Diploma,0.69,16,4,0,16,211,400,132,542,Not Approved
Institution_2955,Non-Rural,UG,3.44,8,2,0,8,55,500,132,402,Not Approved
Institution_6884,Non-Rural,Combined,3.24,8,2,20,8,178,400,132,280,Approved
Institution_7676,Rural,Diploma,6.22,16,4,0,4,202,650,132,337,Approved
Institution_3082,Rural,Diploma,4.43,16,4,0,12,204,550,132,204,Not Approved
Institution_4811,Rural,UG,7.61,20,5,0,10,165,450,132,336,Not Approved
Institution_9043,Non-Rural,PG,0.96,20,5,50,5,77,550,132,251,Not Approved
Institution_2000,Rural,Diploma,8.79,16,4,0,4,268,600,132,212,Approved
Institution_7615,Rural,Combined,10.01,4,1,10,2,208,650,132,264,Approved
Institution_2003,Rural,Diploma,9.99,8,2,0,6,283,650,132,212,Approved
Institution_6471,Non-Rural,Diploma,1.76,12,3,0,9,74,600,132,516,Not Approved
Institution_5481,Rural,PG,8.38,4,1,10,4,178,650,132,215,Not Approved
Institution_8627,Non-Rural,PG,4.55,12,3,30,6,219,600,132,595,Approved
Institution_1355,Non-Rural,Combined,0.54,12,3,30,12,261,500,132,568,Approved
Institution_3007,Non-Rural,Combined,3.92,16,4,40,16,87,600,132,100,Not Approved
Institution_3553,Rural,PG,7.07,4,1,10,2,283,450,132,381,Not Approved
Institution_2241,Rural,PG,12.13,8,2,20,2,206,450,132,429,Approved
Institution_8495,Non-Rural,PG,2.68,8,2,20,6,156,550,132,199,Approved
Institution_1099,Rural,PG,12.1,4,1,10,3,98,450,132,407,Not Approved
Institution_6021,Non-Rural,Combined,4.4,16,4,40,4,238,550,132,294,Approved
Institution_8903,Non-Rural,Combined,4.81,8,2,20,4,126,550,132,239,Not Approved
Institution_4266,Non-Rural,UG,4.15,8,2,0,6,241,450,132,449,Approved
Institution_8642,Non-Rural,Combined,2.94,20,5,50,10,288,600,132,412,Approved
Institution_2096,Non-Rural,UG,2.05,16,4,0,12,214,550,132,289,Not Approved
Institution_1551,Rural,Combined,12.42,4,1,10,2,275,500,132,194,Approved
Institution_6914,Rural,UG,8.73,20,5,0,20,92,600,132,520,Not Approved
Institution_2099,Rural,Combined,12.54,16,4,40,8,291,650,132,144,Approved
Institution_7858,Non-Rural,Combined,1.62,8,2,20,8,273,650,132,181,Approved
Institution_1289,Non-Rural,Combined,2.68,20,5,50,15,159,650,132,127,Approved
Institution_8059,Non-Rural,PG,0.51,8,2,20,4,185,550,132,358,Not Approved
Institution_3703,Non-Rural,PG,4.32,12,3,30,12,74,450,132,265,Not Approved
Institution_6702,Rural,Combined,7.6,8,2,20,8,103,500,132,158,Not Approved
Institution_7874,Non-Rural,PG,4.84,12,3,30,3,104,600,132,401,Not Approved
Institution_5741,Rural,PG,8.0,12,3,30,6,251,450,132,156,Not Approved
Institution_6148,Rural,Diploma,6.16,12,3,0,3,257,650,132,198,Approved
Institution_8158,Non-Rural,UG,4.49,16,4,0,16,252,600,132,327,Approved
Institution_1025,Rural,UG,7.96,8,2,0,2,237,500,132,414,Not Approved
Institution_6293,Rural,Diploma,2.72,20,5,0,15,187,600,132,172,Not Approved
Institution_2415,Non-Rural,Diploma,1.76,4,1,0,3,294,600,132,126,Approved
Institution_5820,Rural,PG,6.13,20,5,50,20,204,550,132,466,Not Approved
Institution_6827,Non-Rural,Diploma,1.96,4,1,0,3,124,500,132,260,Not Approved
Institution_1676,Non-Rural,UG,4.37,16,4,0,8,219,650,132,187,Approved
Institution_2855,Rural,PG,6.14,8,2,20,6,62,500,132,441,Not Approved
Institution_3006,Rural,Diploma,7.99,20,5,0,15,107,500,132,527,Not Approved
Institution_1239,Non-Rural,PG,2.08,8,2,20,8,193,650,132,386,Not Approved
Institution_8830,Non-Rural,Diploma,0.53,20,5,0,15,285,600,132,174,Not Approved
Institution_4365,Rural,UG,14.43,12,3,0,9,225,500,132,199,Approved
Institution_8025,Rural,PG,9.41,4,1,10,3,189,550,132,328,Not Approved
Institution_1108,Non-Rural,UG,1.42,16,4,0,16,168,550,132,563,Not Approved
Institution_5557,Rural,Diploma,2.27,8,2,0,2,150,600,132,314,Not Approved
Institution_8486,Non-Rural,Combined,3.75,4,1,10,2,293,400,132,357,Approved
Institution_6475,Rural,Diploma,2.62,12,3,0,12,160,600,132,560,Not Approved
Institution_8767,Non-Rural,PG,1.34,8,2,20,4,191,650,132,215,Not Approved
Institution_6888,Non-Rural,UG,1.65,4,1,0,2,124,400,132,450,Not Approved
Institution_8337,Non-Rural,Diploma,1.12,4,1,0,4,276,450,132,116,Not Approved
Institution_3394,Non-Rural,PG,3.45,20,5,50,15,93,400,132,411,Not Approved
Institution_5925,Rural,PG,12.15,20,5,50,5,168,400,132,446,Approved
Institution_9393,Rural,Combined,7.29,8,2,20,4,259,600,132,288,Approved
Institution_6797,Rural,UG,8.57,12,3,0,3,131,550,132,312,Not Approved
Institution_4485,Non-Rural,Combined,3.03,12,3,30,3,129,450,132,221,Not Approved
Institution_5617,Rural,PG,14.47,20,5,50,10,285,600,132,265,Approved
Institution_2582,Non-Rural,UG,1.75,16,4,0,8,63,400,132,443,Not Approved
Institution_4573,Rural,Diploma,4.48,12,3,0,6,123,500,132,303,Not Approved
Institution_5585,Non-Rural,PG,4.03,20,5,50,20,163,600,132,161,Approved
Institution_8103,Rural,UG,6.03,8,2,0,6,176,650,132,557,Not Approved
Institution_3870,Non-Rural,PG,2.71,20,5,50,20,65,600,132,426,Not Approved
Institution_4212,Rural,PG,5.58,12,3,30,3,140,550,132,348,Not Approved
Institution_5682,Non-Rural,Combined,3.88,12,3,30,6,168,450,132,326,Approved
Institution_6447,Rural,Diploma,2.78,8,2,0,4,205,550,132,521,Not Approved
Institution_2786,Rural,Combined,5.75,20,5,50,15,54,550,132,464,Not Approved
Institution_7054,Non-Rural,Combined,4.78,4,1,10,1,267,400,132,510,Approved
Institution_5325,Rural,Combined,11.76,20,5,50,10,187,400,132,338,Approved
Institution_9000,Rural,Diploma,3.21,20,5,0,10,224,600,132,364,Not Approved
Institution_3198,Non-Rural,Diploma,0.7,8,2,0,8,154,400,132,546,Not Approved
Institution_2331,Non-Rural,Combined,3.47,12,3,30,6,230,550,132,344,Approved
Institution_1909,Rural,PG,13.25,4,1,10,2,197,550,132,229,Approved
Institution_5501,Non-Rural,Combined,3.45,12,3,30,12,89,450,132,164,Not Approved
Institution_8011,Non-Rural,PG,1.51,16,4,40,16,257,500,132,336,Not Approved
Institution_4947,Non-Rural,Combined,1.23,20,5,50,20,240,650,132,265,Approved
Institution_3530,Rural,Combined,8.51,12,3,30,6,296,500,132,582,Approved
Institution_2129,Non-Rural,UG,2.2,12,3,0,9,273,650,132,117,Not Approved
Institution_7649,Rural,Combined,10.42,16,4,40,8,114,400,132,459,Not Approved
Institution_9818,Non-Rural,PG,1.24,16,4,40,12,227,650,132,442,Not Approved
Institution_4623,Rural,Combined,9.91,8,2,20,4,82,650,132,246,Not Approved
Institution_4899,Rural,PG,5.85,20,5,50,10,278,650,132,101,Not Approved
Institution_7855,Non-Rural,Combined,3.53,4,1,10,3,231,550,132,401,Approved
Institution_1008,Rural,Combined,11.63,16,4,40,12,237,450,132,563,Approved
Institution_3751,Non-Rural,UG,0.76,8,2,0,6,133,550,132,139,Not Approved
Institution_9909,Rural,UG,10.41,16,4,0,12,132,600,132,244,Not Approved
Institution_9359,Rural,Combined,6.52,20,5,50,10,291,400,132,326,Approved
Institution_8917,Non-Rural,Diploma,1.17,12,3,0,6,255,600,132,270,Not Approved
Institution_1798,Non-Rural,Combined,1.54,20,5,50,5,166,500,132,361,Approved
Institution_5973,Non-Rural,PG,3.78,16,4,40,12,115,550,132,421,Not Approved
Institution_7154,Non-Rural,PG,1.76,12,3,30,3,117,550,132,159,Not Approved
Institution_2683,Rural,PG,12.49,16,4,40,16,262,450,132,207,Approved
Institution_6471,Non-Rural,PG,3.94,8,2,20,4,268,400,132,534,Approved
Institution_9937,Rural,PG,13.43,8,2,20,2,101,550,132,102,Not Approved
Institution_5618,Non-Rural,Combined,4.01,16,4,40,8,112,550,132,194,Not Approved
Institution_8658,Non-Rural,UG,3.96,8,2,0,4,286,650,132,244,Approved
Institution_5863,Rural,Diploma,5.05,20,5,0,15,148,400,132,178,Not Approved
Institution_1858,Rural,Combined,13.82,16,4,40,8,239,500,132,422,Approved
Institution_6129,Non-Rural,Diploma,0.93,20,5,0,15,274,550,132,206,Not Approved
Institution_8031,Rural,PG,6.9,8,2,20,8,236,550,132,533,Not Approved
Institution_4259,Non-Rural,UG,1.44,4,1,0,2,209,550,132,192,Not Approved
Institution_9763,Non-Rural,PG,0.94,8,2,20,6,256,600,132,280,Not Approved
Institution_7433,Rural,Diploma,9.62,8,2,0,6,267,600,132,579,Approved
Institution_7118,Rural,Diploma,9.02,8,2,0,8,284,500,132,374,Approved
Institution_3961,Rural,UG,11.64,4,1,0,4,121,550,132,151,Not Approved
Institution_3882,Non-Rural,Diploma,0.79,4,1,0,1,123,550,132,490,Not Approved
Institution_2541,Rural,PG,11.46,16,4,40,16,72,500,132,461,Not Approved
Institution_7305,Non-Rural,Diploma,1.36,8,2,0,2,161,450,132,203,Not Approved
Institution_8585,Non-Rural,Combined,0.64,16,4,40,4,54,600,132,191,Not Approved
Institution_7389,Rural,PG,14.44,8,2,20,2,150,400,132,568,Approved
Institution_7524,Non-Rural,PG,2.06,12,3,30,12,186,550,132,456,Not Approved
Institution_2266,Non-Rural,Diploma,1.3,8,2,0,2,68,550,132,278,Not Approved
Institution_3621,Rural,UG,10.62,16,4,0,8,181,500,132,442,Approved
Institution_6934,Non-Rural,Diploma,0.84,20,5,0,15,229,550,132,247,Not Approved
Institution_6491,Non-Rural,Diploma,1.37,20,5,0,15,179,450,132,316,Not Approved
Institution_7667,Non-Rural,PG,1.58,12,3,30,6,144,500,132,452,Not Approved
Institution_7113,Non-Rural,Combined,1.73,16,4,40,16,70,650,132,274,Not Approved
Institution_4408,Rural,Combined,10.27,20,5,50,20,287,400,132,297,Approved
Institution_9414,Non-Rural,PG,4.47,16,4,40,12,276,650,132,132,Approved
Institution_7557,Non-Rural,PG,3.5,8,2,20,4,284,650,132,173,Approved
Institution_9583,Non-Rural,UG,1.57,4,1,0,1,241,600,132,247,Not Approved
Institution_1370,Rural,UG,14.08,20,5,0,20,177,600,132,229,Approved
Institution_2961,Non-Rural,PG,3.07,16,4,40,4,125,650,132,164,Not Approved
Institution_3524,Non-Rural,Diploma,1.01,16,4,0,8,223,400,132,296,Not Approved
Institution_8166,Rural,UG,10.57,16,4,0,12,223,600,132,507,Approved
Institution_7793,Rural,Combined,11.07,16,4,40,12,60,650,132,280,Not Approved
Institution_8560,Rural,Combined,9.54,12,3,30,6,288,500,132,172,Approved
Institution_9389,Non-Rural,PG,3.15,4,1,10,3,106,400,132,593,Not Approved
Institution_8546,Non-Rural,Diploma,1.13,16,4,0,16,99,600,132,284,Not Approved
Institution_1045,Non-Rural,UG,3.52,16,4,0,8,137,650,132,202,Not Approved
Institution_2154,Rural,Diploma,3.74,8,2,0,6,259,450,132,488,Not Approved
Institution_6228,Rural,Diploma,6.32,12,3,0,9,140,650,132,128,Not Approved
Institution_1672,Non-Rural,Combined,2.51,12,3,30,12,173,450,132,450,Approved
Institution_5935,Non-Rural,Combined,3.43,16,4,40,16,232,400,132,234,Approved
Institution_2419,Rural,Diploma,3.11,4,1,0,4,195,650,132,193,Not Approved
Institution_1208,Non-Rural,PG,2.7,12,3,30,9,68,450,132,428,Not Approved
Institution_3336,Non-Rural,Combined,4.77,8,2,20,8,157,650,132,506,Approved
Institution_4619,Rural,Diploma,9.17,16,4,0,8,278,600,132,292,Approved
Institution_9739,Rural,UG,6.94,8,2,0,8,266,650,132,362,Not Approved
Institution_3613,Non-Rural,Diploma,1.04,20,5,0,10,215,650,132,272,Not Approved
Institution_6510,Non-Rural,Combined,4.92,8,2,20,6,222,600,132,496,Approved
Institution_7307,Non-Rural,Combined,3.25,20,5,50,20,148,650,132,221,Not Approved
Institution_7946,Rural,PG,12.95,20,5,50,20,153,500,132,350,Approved
Institution_5101,Rural,Diploma,10.0,16,4,0,4,99,600,132,454,Not Approved
Institution_4951,Rural,Combined,12.73,4,1,10,3,189,500,132,586,Approved
Institution_2784,Rural,Combined,13.41,4,1,10,2,163,400,132,252,Approved
Institution_3419,Rural,PG,10.8,4,1,10,4,138,500,132,364,Not Approved
Institution_6125,Rural,Combined,8.48,4,1,10,3,206,650,132,123,Approved
Institution_2833,Non-Rural,Combined,3.52,4,1,10,1,268,550,132,430,Approved
Institution_2989,Non-Rural,UG,2.73,4,1,0,3,166,450,132,120,Approved
Institution_8004,Rural,PG,10.37,8,2,20,6,240,600,132,549,Approved
Institution_9542,Rural,UG,7.23,12,3,0,6,121,450,132,389,Not Approved
